system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-14,,,,0.8909111111111111,,,0.8732,,0.8789,0.9137,,0.92232,0.7775888888888889,,,0.7308555555555556,,0.85885,,,0.8902333333333333,,0.8848777777777778
04-15,,,,,,,0.8681333333333333,,0.8674055555555555,0.8947,,,0.8734636363636363,0.7845666666666667,,,,,0.7443444444444445,,0.8664499999999999,0.9038111111111111,
04-16,0.9045142857142857,,0.8481555555555556,0.8967111111111111,0.8141777777777778,,0.87235,,,0.8858222222222222,0.810675,,0.7838555555555555,,0.8934823529411765,,,,,,0.9341277777777778,0.9059111111111111,0.9022
04-17,,,0.8516111111111111,0.85376,0.8531,0.906825,0.8767777777777778,0.7356,,,0.4554375,,,,0.8761611111111112,,,,,,0.6989111111111111,0.8722333333333333,
04-18,,,0.8518555555555556,0.8845666666666666,,,0.8227555555555556,,0.81495,,0.8920571428571429,0.8896,0.9643333333333334,,0.8582888888888889,,,,0.7476,0.9888285714285714,0.8398833333333333,0.9145823529411765,0.8856777777777778
04-19,,,0.8409444444444445,0.7491777777777777,0.8587944444444444,0.77875,0.8620444444444445,0.9198444444444445,,0.9883000000000001,,0.7262500000000001,0.6413111111111112,0.8756666666666667,0.8770222222222221,,,0.873,,,,,0.882675
04-20,,,,,0.8831277777777778,,0.6694058823529412,0.8889,,,,0.9057444444444445,0.8904833333333333,0.8693888888888889,0.8678888888888889,0.6544166666666666,0.738,0.6873333333333334,0.9082,,,0.8643222222222222,
04-21,,0.8795111111111111,,0.6878888888888889,0.8100666666666666,0.9030222222222222,0.8384388888888888,,,0.9154666666666667,,0.8720944444444445,,0.8686,0.8561444444444445,0.64276875,,,0.6731666666666667,,0.89353,,0.9018666666666667
04-22,0.8975555555555556,,,0.6165111111111111,0.8406666666666667,0.5442333333333333,0.54762,0.8955333333333333,,0.8890176470588236,,0.9013333333333333,,0.8401733333333333,,0.9108,0.33372857142857143,,0.8941444444444444,,0.9284571428571429,0.9347588235294118,0.9086666666666666
04-23,,,,0.86375,,,0.8288888888888889,0.9091722222222223,0.6593611111111112,0.8712333333333334,0.7136333333333333,0.8960625,,0.889825,,0.9256666666666666,0.80429375,0.8754722222222222,,,0.9275666666666667,,0.9391333333333333
04-24,,,,0.84424375,,,0.8047666666666667,0.8928466666666667,,0.8871333333333333,0.9698666666666667,0.8976833333333333,,0.8308055555555556,,0.8887333333333334,0.8270363636363636,0.8678555555555556,0.9077,0.8855999999999999,0.46128888888888886,,0.8247
04-25,0.43554444444444446,,,,,0.8575857142857143,0.34384444444444445,0.8835777777777778,0.8509444444444444,0.87825,0.7172888888888889,0.9089055555555555,,0.8798625,0.7674166666666666,0.8920888888888889,0.9314888888888889,0.8564,,,,0.9166277777777778,0.6993666666666666
04-26,,,0.8246333333333333,0.8186666666666667,,0.8691666666666666,0.4312888888888889,0.8935466666666667,0.6750166666666667,0.8645666666666667,,,0.8049111111111111,0.7571,,0.8750222222222223,0.705,0.8303666666666667,0.9116,,,0.9106111111111111,0.9219888888888889
04-27,,,,0.8734777777777778,0.8643,0.8776777777777778,,0.813925,,0.8341722222222222,,0.84735,0.87529,,0.7468,0.90545,,0.8563555555555555,0.7135666666666667,0.8996833333333333,,,1.0402714285714285
04-28,,,0.7280555555555556,0.8515,0.8768833333333333,0.8644166666666667,0.4315888888888889,0.9002888888888889,0.8404555555555555,0.8956,,0.9029285714285714,0.8058555555555555,0.8241999999999999,0.8664222222222222,0.9080944444444444,,0.8526833333333333,0.9183222222222222,0.9178611111111111,0.7078111111111111,0.88147,
04-29,,,,0.8851055555555556,0.85252,0.9192888888888889,0.7436333333333334,0.8643857142857143,0.8291714285714286,0.8425111111111111,,0.8796666666666666,0.8739944444444444,,0.7683222222222222,0.9081944444444444,,0.6991499999999999,0.6599,,,,0.59168
04-30,,,,0.8967222222222222,0.9105888888888889,0.9239666666666667,,,0.48716,,0.6687222222222222,0.8826,0.83335,,,0.8950333333333333,0.7756,0.8358277777777778,,0.9455722222222223,1.2053833333333335,0.6501444444444444,
05-01,,,0.7941777777777778,0.7841,0.8367722222222223,,,0.8692888888888889,,,0.9378,0.7656571428571428,0.90692,0.5484,,0.9092555555555556,,0.46104285714285714,0.8644666666666667,0.8680555555555556,,0.81465,0.8339611111111112
05-02,0.7961111111111111,,0.8692124999999999,0.8876,0.8106833333333333,,,,0.8074111111111111,0.9074555555555556,,,0.8462833333333334,,,0.76895,,,0.7969166666666667,,,0.912875,0.9141833333333333
05-03,0.5831222222222222,0.8132222222222222,0.8958222222222222,,0.7163555555555555,0.8918611111111111,,0.6927727272727272,0.7584611111111111,0.9795,,,0.8051,,0.8868333333333334,0.87425,,,,,,0.9246833333333333,0.8605722222222222
05-04,,,0.8855444444444445,,0.8008181818181819,0.8684666666666666,,0.9177722222222222,0.7217470588235294,0.9710888888888889,0.9735,,,,0.8388111111111111,0.7843388888888889,0.8062555555555555,0.7759333333333334,,,0.8141,0.9029833333333334,0.9300333333333334
05-05,,0.8416625,,0.5174,,0.9250277777777778,,0.73901,,,0.6811,0.8457388888888889,,0.9031899999999999,0.6669666666666667,0.781575,0.8391,,,,0.9012941176470588,0.9168388888888889,0.9060277777777778
05-06,,,,,0.8893,0.8908166666666667,0.7533,0.90425,0.8694444444444445,,,0.9120166666666667,0.8759777777777777,0.9077555555555555,0.7866333333333333,0.77948,,0.8062333333333334,,0.1953888888888889,0.82035,0.9284166666666667,0.9008266666666667
05-07,0.3967888888888889,,0.9072666666666667,0.46364444444444447,0.7757,0.764325,0.7798333333333334,0.91265,,0.5793333333333333,0.8609444444444444,0.89535,0.8268388888888889,0.9020555555555556,,0.7831222222222223,0.55246,,0.8977,0.7955,0.6410166666666667,,
