system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
04-08,0.9204444444444444,0.8581555555555556,0.89575,0.9044133333333333,0.92515,0.9204166666666667,,0.8921944444444444,0.9143071428571429,,0.9083333333333333,0.9112399999999999,0.8925611111111111,0.8779666666666667,0.90302,0.8984888888888889,,,0.8703647058823529,,0.9072888888888889,0.7992722222222223,
04-09,,,0.89135,0.9032444444444444,0.9204769230769231,0.9247083333333334,,0.7179,0.9307,0.8741166666666667,0.9033222222222222,0.9087999999999999,0.8965222222222222,0.9069611111111111,0.9135444444444445,0.8908111111111111,0.764,0.8638555555555556,1.0811,0.8904,0.9255833333333333,0.9034058823529412,
04-10,0.8978666666666667,0.8782555555555556,,,0.8742,,0.9067727272727273,,0.9012142857142857,0.8923,0.9434,,0.9563,0.902411111111111,,0.8758058823529412,,,,0.8665411764705883,0.9004944444444445,0.8009555555555555,0.9096
04-11,,0.7897444444444445,0.9003,0.9170555555555556,0.9154266666666667,,0.7906,0.9183,0.9942000000000001,0.9536857142857142,0.84685,,0.9339666666666666,0.9093055555555556,0.8361,0.8931933333333334,,0.6691,0.9035888888888889,,,0.6431,
04-12,0.9135444444444444,0.8831333333333333,,0.8922470588235294,0.90458,,0.9293888888888889,0.9009555555555556,,,0.9194,0.8371941176470589,0.8769555555555556,0.9147333333333333,,,0.71102,,0.91534,0.8349888888888889,,,
04-13,,,0.8300111111111111,0.8980333333333334,,,,0.9154555555555556,0.9130909090909091,0.8886875,0.8163777777777778,0.896775,0.8473125,0.8765352941176471,,0.9072583333333333,0.9628055555555556,,0.9231666666666667,,,0.8530888888888889,0.9105777777777778
04-14,0.9195571428571429,0.46909999999999996,,,,0.828075,0.9074,,0.91599,0.9073,0.8988888888888888,0.912575,0.8513333333333333,0.9085388888888889,0.9725,0.9163,,,0.9124833333333333,,0.9032666666666667,0.896,1.0050000000000001
04-15,,,,,,0.9126,,,0.9080333333333334,0.9018555555555555,,0.9273071428571429,0.8921833333333333,0.9409444444444445,,0.9001555555555556,,,0.9348222222222222,0.9074333333333333,,0.9073333333333333,0.9115222222222222
04-16,,,,0.9109944444444444,0.8604,0.92403,0.8815444444444445,0.9158999999999999,0.9162444444444444,0.8973777777777778,,0.9208666666666667,,,,0.75137,,0.9175777777777778,,0.91515,,0.922335294117647,
04-17,,,0.8958999999999999,,0.89938,,0.9059222222222222,,0.82275,0.9399,0.9031611111111111,0.9189615384615385,0.8064176470588236,0.8854611111111111,0.9182882352941176,0.9080117647058823,,,0.8709888888888888,0.9073352941176471,0.90845,0.922025,0.7747888888888889
